Project #,Project # in Queued Up,Queue Date,Balancing Authority,BA,State,County,Upgrade of Existing Generator,Latitude of POI,Longitude of POI,Substation Newly Built,POI Transmission Line,Transmission Voltage,Study Type,Study Date,Study Year,Restudy,Revision of Study,Fuel,Nameplate MW,Request Status,Service Type,$2024 POI Cost/kW,$2024 Network Cost/kW,$2024 Total Cost/kW
G0327,G0327,5/9/08,Bonneville Power Administration,BPA,WA,,N,46.2991,-120.21815,N,Tower Road – Alkali,115,Facility,2/10/09,2009,N,N,Biomass,7,Operational,,25.24,19.91,45.16
"G0367, G0368",,,Bonneville Power Administration,BPA,OR,Wasco,N,45.19423,-121.03582,N,,230,Facility,11/20/19,2019,N,N,Wind Hybrid,202,Complete,NRIS,26.72,111.8,138.52
G0601,G0601,9/26/18,Bonneville Power Administration,BPA,OR,Umatilla,N,45.8455,-119.6476,N,,115,Feasibility,4/23/19,2019,N,N,Solar,14,Withdrawn,,4.65,0.93,5.58
G0559,G0559,3/1/17,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,Y,McNary –Franklin #2,230,Facility,8/1/19,2019,N,N,Wind,250,Active,NRIS,144.07,24.19,168.26
G0597,G0597,8/1/18,Bonneville Power Administration,BPA,WA,Kittitas,N,47.13675,-120.70275,N,,230,Feasibility,1/22/19,2019,N,N,Solar Hybrid,160,Withdrawn,NRIS,60.36,0,60.36
G0600,G0600,8/14/18,Bonneville Power Administration,BPA,WA, Lincoln,N,47.96647,-119.02032,Y,Grand Coulee -Creston ,115,System Impact,1/20/19,2019,N,N,Solar Hybrid,80,Withdrawn,NRIS,274.9,37.96,312.86
G0617,G0617,3/22/19,Bonneville Power Administration,BPA,OR,Sherman,N,45.64887,-120.61365,N,,230,System Impact,8/29/19,2019,N,N,Solar Hybrid,200,Active,ERIS,0,0.3,0.3
G0558,G0558,2/21/17,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,Y,Ashe-Marion #2,500,Facility,10/28/19,2019,N,N,Wind,500,Active,ERIS,173.3,34.34,207.64
G0561,G0561,5/3/17,Bonneville Power Administration,BPA,WA,Benton,N,46.28198,-119.40504,N,,115,Facility,6/24/19,2019,N,Y,Wind,250,Withdrawn,ERIS,32.72,13.43,46.15
G0584,G0584,3/19/18,Bonneville Power Administration,BPA,WA,Klickitat,N,47.744,-120.2206,Y,Horse Heaven-Harvalum No 1,230,System Impact,7/19/19,2019,N,N,Solar,100,Withdrawn,ERIS,44.78,232.95,277.73
G0605,G0605,11/14/18,Bonneville Power Administration,BPA,OR,Morrow,N,45.5151,-119.5898,N,Morrow Flat –Blueridge,230,System Impact,5/31/19,2019,N,N,Solar Hybrid,80,Operational,ERIS,5.2,9.07,14.27
G0614,G0614,1/22/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.6808,-120.7315,Y,McNary-John Day #2,500,Feasibility,7/19/19,2019,N,N,Solar,600,Withdrawn,ERIS,99.36,0.7,100.06
G0624,G0624,5/31/19,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,,230,Feasibility,2/11/19,2019,N,Y,Wind Hybrid,1250,Withdrawn,ERIS,64.74,0,64.74
G0558,G0558,2/21/17,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,Y,Ashe-Marion #2,500,Facility,10/28/19,2019,N,N,Wind,500,Active,NRIS,173.3,34.34,207.64
G0561,G0561,5/3/17,Bonneville Power Administration,BPA,WA,Benton,N,46.28198,-119.40504,N,,115,Facility,6/24/19,2019,N,Y,Wind,250,Withdrawn,NRIS,32.72,13.43,46.15
G0584,G0584,3/19/18,Bonneville Power Administration,BPA,WA,Klickitat,N,47.744,-120.2206,Y,Horse Heaven-Harvalum No 1,230,System Impact,7/19/19,2019,N,N,Solar,100,Withdrawn,NRIS,44.78,232.95,277.73
G0605,G0605,11/14/18,Bonneville Power Administration,BPA,OR,Morrow,N,45.5151,-119.5898,N,Morrow Flat –Blueridge,230,System Impact,5/31/19,2019,N,N,Solar Hybrid,80,Operational,NRIS,5.2,9.07,14.27
G0614,G0614,1/22/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.6808,-120.7315,Y,McNary-John Day #2,500,Feasibility,7/19/19,2019,N,N,Solar,600,Withdrawn,NRIS,99.36,0.7,100.06
G0624,G0624,5/31/19,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,,230,Feasibility,2/11/19,2019,N,Y,Wind Hybrid,1250,Withdrawn,NRIS,64.74,0,64.74
G0539,G0539,5/16/16,Bonneville Power Administration,BPA,OR,Crook,N,44.22522,-120.9327,N,Ponderosa – Corral #1,500-230,Facility,4/24/20,2020,N,N,Solar,600,Active,NRIS,30.48,4.82,35.31
G0607,G0607,12/6/18,Bonneville Power Administration,BPA,OR,Klamath,N,42.0066,-121.3165,N,,500,System Impact,9/30/20,2020,N,N,Storage,393.3,Withdrawn,NRIS,42.17,0.62,42.79
G0647,G0647,5/18/20,Bonneville Power Administration,BPA,WA,Benton,N,46.51522,-119.9347,N,Schultz -Wautoma,500,Feasibility,12/4/20,2020,N,Y,Solar Hybrid,560,Withdrawn,ERIS,10.45,0,10.45
G0501,G0501,10/13/14,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,Facility,9/23/20,2020,N,N,Gas,1100,Active,ERIS,15.1,0.93,16.03
G0578,G0578,11/2/17,Bonneville Power Administration,BPA,WA,Yakima,N,46.5416,-119.8941,N,Midway-Moxee #1,115,Facility,7/30/20,2020,N,N,Solar Hybrid,80,Active,ERIS,20.35,53.79,74.13
G0595,G0595,7/20/18,Bonneville Power Administration,BPA,WA,Grays Harbor,N,46.96858,-123.46439,N,,230,Facility,3/18/20,2020,N,N,Wind,307,Withdrawn,ERIS,23.93,5.14,29.07
G0612,G0612,1/4/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.852,-121.31644,N,EE Clouse – Harvalum,230,System Impact,4/30/20,2020,N,N,Solar,127,Withdrawn,ERIS,10.63,179.42,190.05
G0630,G0630,10/28/19,Bonneville Power Administration,BPA,MT,Deer Lodge,N,46.104791,-112.8761,N,,230,Feasibility,5/4/20,2020,N,N,Solar,300,Withdrawn,ERIS,36.27,0,36.27
G0632,G0632,11/4/19,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Feasibility,4/3/20,2020,N,N,Solar,300,Withdrawn,ERIS,22.96,0.58,23.54
G0633,G0633,12/3/19,Bonneville Power Administration,BPA,OR,"Morrow, Gilliam",N,45.8307,-119.8382,Y,Ashe – Marion,500,Feasibility,5/8/20,2020,N,N,Wind,500,Withdrawn,ERIS,192.23,18.07,210.29
G0640,G0640,2/10/20,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,System Impact,5/25/20,2020,N,N,Solar,238.5,Active,ERIS,37.69,284.12,321.81
G0641,G0641,2/20/20,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,Feasibility,8/21/20,2020,N,Y,Storage,500,Active,ERIS,24.46,0.55,25.01
G0501,G0501,10/13/14,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,Facility,9/23/20,2020,N,N,Gas,1100,Active,NRIS,15.1,0.93,16.03
G0578,G0578,11/2/17,Bonneville Power Administration,BPA,WA,Yakima,N,46.5416,-119.8941,N,Midway-Moxee #1,115,Facility,7/30/20,2020,N,N,Solar Hybrid,80,Active,NRIS,20.35,53.79,74.13
G0595,G0595,7/20/18,Bonneville Power Administration,BPA,WA,Grays Harbor,N,46.96858,-123.46439,N,,230,Facility,3/18/20,2020,N,N,Wind,307,Withdrawn,NRIS,23.93,5.14,29.07
