,Balancing Authority,BA,State,County,Upgrade of Existing Generator,Latitude of POI,Longitude of POI,Substation Newly Built,Transmission Voltage,Study Type,Study Year,Restudy,Revision of Study,Fuel,Nameplate MW,Request Status,Service Type,$2024 POI Cost/kW,$2024 Network Cost/kW,S_Month,S_Day,Q_Year,Q_Month,Q_Day
2,Bonneville Power Administration,BPA,OR,Umatilla,N,45.8455,-119.6476,N,115.0,Feasibility,2019,N,N,Solar,14.0,Withdrawn,Unknown,4.65,0.93,4,23,2018,9,26
3,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,Y,230.0,Facility,2019,N,N,Wind,250.0,Active,NRIS,144.07,24.19,8,1,2017,3,1
4,Bonneville Power Administration,BPA,WA,Kittitas,N,47.13675,-120.70275,N,230.0,Feasibility,2019,N,N,Solar Hybrid,160.0,Withdrawn,NRIS,60.36,0.0,1,22,2018,8,1
5,Bonneville Power Administration,BPA,WA, Lincoln,N,47.96647,-119.02032,Y,115.0,System Impact,2019,N,N,Solar Hybrid,80.0,Withdrawn,NRIS,274.9,37.96,1,20,2018,8,14
6,Bonneville Power Administration,BPA,OR,Sherman,N,45.64887,-120.61365,N,230.0,System Impact,2019,N,N,Solar Hybrid,200.0,Active,ERIS,0.0,0.3,8,29,2019,3,22
7,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,Y,500.0,Facility,2019,N,N,Wind,500.0,Active,ERIS,173.3,34.34,10,28,2017,2,21
8,Bonneville Power Administration,BPA,WA,Benton,N,46.28198,-119.40504,N,115.0,Facility,2019,N,Y,Wind,250.0,Withdrawn,ERIS,32.72,13.43,6,24,2017,5,3
9,Bonneville Power Administration,BPA,WA,Klickitat,N,47.744,-120.2206,Y,230.0,System Impact,2019,N,N,Solar,100.0,Withdrawn,ERIS,44.78,232.95,7,19,2018,3,19
10,Bonneville Power Administration,BPA,OR,Morrow,N,45.5151,-119.5898,N,230.0,System Impact,2019,N,N,Solar Hybrid,80.0,Operational,ERIS,5.2,9.07,5,31,2018,11,14
11,Bonneville Power Administration,BPA,WA,Klickitat,N,45.6808,-120.7315,Y,500.0,Feasibility,2019,N,N,Solar,600.0,Withdrawn,ERIS,99.36,0.7,7,19,2019,1,22
12,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,230.0,Feasibility,2019,N,Y,Wind Hybrid,1250.0,Withdrawn,ERIS,64.74,0.0,2,11,2019,5,31
13,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,Y,500.0,Facility,2019,N,N,Wind,500.0,Active,NRIS,173.3,34.34,10,28,2017,2,21
14,Bonneville Power Administration,BPA,WA,Benton,N,46.28198,-119.40504,N,115.0,Facility,2019,N,Y,Wind,250.0,Withdrawn,NRIS,32.72,13.43,6,24,2017,5,3
15,Bonneville Power Administration,BPA,WA,Klickitat,N,47.744,-120.2206,Y,230.0,System Impact,2019,N,N,Solar,100.0,Withdrawn,NRIS,44.78,232.95,7,19,2018,3,19
16,Bonneville Power Administration,BPA,OR,Morrow,N,45.5151,-119.5898,N,230.0,System Impact,2019,N,N,Solar Hybrid,80.0,Operational,NRIS,5.2,9.07,5,31,2018,11,14
17,Bonneville Power Administration,BPA,WA,Klickitat,N,45.6808,-120.7315,Y,500.0,Feasibility,2019,N,N,Solar,600.0,Withdrawn,NRIS,99.36,0.7,7,19,2019,1,22
18,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,230.0,Feasibility,2019,N,Y,Wind Hybrid,1250.0,Withdrawn,NRIS,64.74,0.0,2,11,2019,5,31
