index,q_id,q_status,q_date,prop_date,on_date,wd_date,IA_status_raw,IA_status_clean,County,state,region,utility,entity,developer,cluster,service,project_type,type1,mw1,type_clean,q_year,prop_year,q_month,q_day,q_dayofweek,Biomass_x,Geothermal_x,Small Hydro_x,Solar Photovoltaic_x,Solar Thermal_x,Wind_x,Total_x,Biomass_GWh,Geothermal_GWh,Small Hydro_GWh,Solar Photovoltaic_GWh,Solar Thermal_GWh,Wind_GWh,Total_GWh,Biomass_gen,Geothermal_gen,Small Hydro_gen,Solar Photovoltaic_gen,Solar Thermal_gen,Wind_gen,Total_gen (GWh)
442,Q499,withdrawn,2023-03-22,2027-12-01,,,Withdrawn,Withdrawn,Riverside,CA,West,Arizona Public Service,APS,,,NRIS,Generation,Hydro,1300.0,Hydro,2023.0,2027.0,3,22,2,56,0,50,2700,250,576,3630,490.56,0.0,438.0,23652.0,2190.0,5045.76,31798.8,292,0,45,6165,615,1305,8422
1681,10,withdrawn,2001-05-02,2009-07-01,,,Executed,IA Executed,Kings,CA,CAISO,PGAE,CAISO,,,,Generation,Gas,620.0,Gas,2001.0,2009.0,5,2,2,0,0,0,1554,0,0,1554,0.0,0.0,0.0,13613.04,0.0,0.0,13613.04,0,0,0,3678,0,0,3678
1682,1000,withdrawn,2013-04-30,2019-01-01,,2014-04-24,,System Impact Study,Kern,CA,CAISO,PGAE,CAISO,,C06,NRIS,Generation,Other,300.0,Other,2013.0,2019.0,4,30,1,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
1683,1001,withdrawn,2013-04-30,2016-10-01,,2014-02-27,,System Impact Study,Kings,CA,CAISO,PGAE,CAISO,,C06,NRIS,Generation,Solar,20.0,Solar,2013.0,2016.0,4,30,1,0,0,0,1554,0,0,1554,0.0,0.0,0.0,13613.04,0.0,0.0,13613.04,0,0,0,3678,0,0,3678
1685,1003,withdrawn,2013-04-30,2017-01-01,,2014-04-29,,System Impact Study,Kern,CA,CAISO,SCE,CAISO,,C06,NRIS,Generation,Gas,86.0,Gas,2013.0,2017.0,4,30,1,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
1686,1003A,operational,2013-04-30,,2016-12-29,,Executed,IA Executed,Los Angeles,CA,CAISO,SCE,CAISO,,C06,NRIS,Generation,Solar,9.5,Solar,2013.0,,4,30,1,189,0,215,1343,0,2,1749,1655.64,0.0,1883.4,11764.68,0.0,17.52,15321.24,804,0,89,3022,0,5,3919
1687,1004,withdrawn,2014-01-23,2014-10-31,,2014-07-29,,System Impact Study,Kern,CA,CAISO,SCE,CAISO,,,ERIS,Generation,Solar,5.0,Solar,2014.0,2014.0,1,23,3,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
1688,1005,operational,2014-03-11,,2014-07-30,,Executed,IA Executed,Merced,CA,CAISO,PGAE,CAISO,,,ERIS,Generation,Biofuel,0.5,Other,2014.0,,3,11,1,13,0,31,342,0,18,404,113.88,0.0,271.56,2995.92,0.0,157.68,3539.04,51,0,12,843,0,10,916
1690,1007,withdrawn,2014-04-30,2020-01-01,,2015-03-20,,System Impact Study,Santa Clara,CA,CAISO,PGAE,CAISO,,C07,NRIS,Generation,Battery,20.0,Battery,2014.0,2020.0,4,30,2,3,0,0,30,0,0,33,26.28,0.0,0.0,262.8,0.0,0.0,289.08,11,0,0,49,0,0,59
1691,1008,withdrawn,2014-04-30,2017-06-01,,2015-01-30,,System Impact Study,Contra Costa,CA,CAISO,PGAE,CAISO,,C07,NRIS,Generation,Gas,309.0,Gas,2014.0,2017.0,4,30,2,7,0,0,48,0,38,92,61.32,0.0,0.0,420.48,0.0,332.88,805.92,24,0,0,70,0,99,194
1692,1009,withdrawn,2014-04-30,2016-06-01,,2015-01-30,,System Impact Study,Contra Costa,CA,CAISO,PGAE,CAISO,,C07,NRIS,Generation,Battery,20.0,Battery,2014.0,2016.0,4,30,2,7,0,0,48,0,38,92,61.32,0.0,0.0,420.48,0.0,332.88,805.92,24,0,0,70,0,99,194
1693,101,withdrawn,2006-04-07,2008-03-01,,2006-04-07,,System Impact Study,Kern,CA,CAISO,PGAE,CAISO,,,,Generation,Gas,100.0,Gas,2006.0,2008.0,4,7,4,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
